ID_BARRAGEM	NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
11	North Mill Pond	Beadell Brasil Ltda	05.642.709/0001-04	"0° 51' 34.4927"""	"-51° 53' 29.7384"""	Norte do Equador	AP	PEDRA BRANCA DO AMAPARI	Minério de Ouro Primário	27	11352000	Alteamento a jusante	Baixa	Alta	B	Sim
12	TAP D	Beadell Brasil Ltda	05.642.709/0001-04	"0° 50' 13.9852"""	"-51° 53' 10.6706"""	Norte do Equador	AP	PEDRA BRANCA DO AMAPARI	Minério de Ouro Primário	36	6280000	Etapa única	Baixa	Alta	B	Sim
13	VILA NOVA	Unamgen Mineração e Metalurgia S.a.	42.593.269/0001-79	"0°24'06.026"""	"-51°45'28.112"""	Norte do Equador	AP	MAZAGÃO	Minério de Ferro	15,5	440300	Etapa única	Baixa	Baixa	E	Sim
14	Barragem 01	Jacobina Mineração e Comércio Ltda	42.463.174/0001-30	"-11°14'37.100"""	"-40°31'32.700"""	Sul do Equador	BA	JACOBINA	Rocha Aurífera	61	10000000	Alteamento por linha de centro	Baixa	Alta	B	Sim
15	Barragem 01	Samaca Ferros Ltda	16.682.218/0001-03	"-15°46'38.590"""	"-40°19'20.640"""	Sul do Equador	BA	MAIQUINIQUE	Areia	12	348370	Alteamento a montante ou desconhecido	Média	Média	C	Sim
16	BARRAGEM 02	Jacobina Mineração e Comércio Ltda	42.463.174/0001-30	"-11°14'06.400"""	"-40°31'44.700"""	Sul do Equador	BA	JACOBINA	Rocha Aurífera	88	9146767,12	Alteamento a jusante	Baixa	Alta	B	Sim
17	Barragem 02	Samaca Ferros Ltda	16.682.218/0001-03	"-15°46'42.200"""	"-40°19'04.300"""	Sul do Equador	BA	MAIQUINIQUE	Areia	19	1438806	Alteamento a montante ou desconhecido	Média	Baixa	D	Sim
18	BARRAGEM DE FLOTAÇÃO	Santa Luz Desenvolvimento Mineral Ltda	22.103.965/0001-42	"-11°00'12.400"""	"-39°17'13.300"""	Sul do Equador	BA	SANTALUZ	Minério de Ouro Primário	25	1403849	Alteamento a jusante	Baixa	Alta	B	Sim
19	BARRAGEM DE LIXIVIAÇÃO	Santa Luz Desenvolvimento Mineral Ltda	22.103.965/0001-42	"-11°00'13.100"""	"-39°18'03.000"""	Sul do Equador	BA	SANTALUZ	Minério de Ouro Primário	22	207365	Alteamento a jusante	Baixa	Alta	B	Sim
20	Barragem de rejeito não magnético 01	Vanádio de Maracás S A	15.191.786/0001-49	"-13°40'57.5116"""	"-40°41'40.4336"""	Sul do Equador	BA	MARACÁS	Minério de Vanádio	11,99	149486,93	Alteamento por linha de centro	Baixa	Média	C	Sim
21	Barragem de rejeito não magnético 02	Vanádio de Maracás S A	15.191.786/0001-49	"-13°41'12.251"""	"-40°41'29.982"""	Sul do Equador	BA	MARACÁS	Minério de Vanádio	15,19	391923,43	Etapa única	Baixa	Baixa	E	Sim
22	Barragem de rejeito não magnético 03	Vanádio de Maracás S A	15.191.786/0001-49	"-13°41'14.100"""	"-40°41'20.900"""	Sul do Equador	BA	MARACÁS	Minério de Vanádio	20,21	425141	Etapa única	Baixa	Média	C	Sim
23	Barragem MCSA	Mineração Caraíba S.a.	42.509.257/0001-13	"-9°51'04.100"""	"-39°49'35.700"""	Sul do Equador	BA	JAGUARARI	Minério de Cobre	6,65	45400000	Etapa única	Baixa	Baixa	E	Sim
24	Barragem Santa Rita	Mirabela Mineração do Brasil Ltda.	74.127.010/0001-29	"-14°11'20.792"""	"-39°41'49.707"""	Sul do Equador	BA	ITAGIBÁ	Minério de Níquel	27	23238613,66	Alteamento a jusante	Baixa	Alta	B	Sim
25	BARRAGEM USINA/CIP - LAGO 1 E 2	Fazenda Brasileiro Desenvolvimento Mineral Ltda.	22.104.045/0001-49	"-11°26'59.000"""	"-39°05'23.000"""	Sul do Equador	BA	BARROCAS	Rocha Aurífera	23	13770423	Alteamento a jusante	Baixa	Alta	B	Sim
26	BARRAGEM USINA/CIP - LAGO 3	Fazenda Brasileiro Desenvolvimento Mineral Ltda.	22.104.045/0001-49	"-11°26'49.682"""	"-39°04'16.305"""	Sul do Equador	BA	BARROCAS	Rocha Aurífera	11,17	1721104	Alteamento a jusante	Baixa	Alta	B	Sim
27	BARRAGEM USINA/CIP - LAGO 4	Fazenda Brasileiro Desenvolvimento Mineral Ltda.	22.104.045/0001-49	"-11°26'53.000"""	"-39°05'53.000"""	Sul do Equador	BA	BARROCAS	Rocha Aurífera	17,89	248254,3	Alteamento a jusante	Baixa	Alta	B	Sim
28	DIQUE DE SEGURANÇA	Fazenda Brasileiro Desenvolvimento Mineral Ltda.	22.104.045/0001-49	"-11°26'58.200"""	"-39°05'31.800"""	Sul do Equador	BA	BARROCAS	Rocha Aurífera	8,37	5000	Etapa única	Baixa	Média	C	Sim
29	Barragem Norte	Samarco Mineração S A.	16.628.281/0001-61	"-20°46'03.255"""	"-40°35'18.081"""	Sul do Equador	ES	ANCHIETA	Sedimento	7	1171600	Etapa única	Baixa	Média	C	Sim
30	Barragem BM	Mosaic Fertilizantes P&K S.A. Filial: Catalao	33.931.486/0010-21	"-18°06'45.300"""	"-47°47'04.100"""	Sul do Equador	GO	CATALÃO	Fosfato	28	1500000	Alteamento a jusante	Baixa	Média	C	Sim
31	Barragem BR	Mosaic Fertilizantes P&K S.A. Filial: Catalao	33.931.486/0010-21	"-18°06'19.130"""	"-47°46'47.160"""	Sul do Equador	GO	CATALÃO	Fosfato	56	32000000	Alteamento por linha de centro	Baixa	Alta	B	Sim
32	Barragem de Rejeitos do Córrego Baco Pari	Mineração Maracá Industria e Comercio Sa	86.902.053/0001-13	"-14°12'21.207"""	"-49°24'22.373"""	Sul do Equador	GO	ALTO HORIZONTE	Minério de Cobre	47	179363962	Alteamento por linha de centro	Baixa	Alta	B	Sim
33	BARRAGEM DE REJEITOS PGDM	Pilar de Goias Desenvolvimento Mineral S.a.	21.823.063/0001-18	"-14°48'36.800"""	"-49°32'26.200"""	Sul do Equador	GO	PILAR DE GOIÁS	Minério de Ouro Primário	37	6488715,79	Alteamento a jusante	Baixa	Alta	B	Sim
34	BARRAGEM DO BURACO	Copebras Indústria Ltda	46.567.202/0009-78	"-18°09'45.000"""	"-47°50'43.500"""	Sul do Equador	GO	CATALÃO	Rocha Fosfática	65	45000000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
35	Barragem Morro Pelado	Brasil Minérios S.a.	02.683.365/0001-93	"-16°23'38.000"""	"-50°23'01.200"""	Sul do Equador	GO	SÃO LUÍS DE MONTES BELOS	Vermiculita	12	600000	Etapa única	Baixa	Alta	B	Sim
36	Barragem MSG	Mineração Serra Grande S.a.	42.445.403/0001-94	"-14°33'39.923"""	"-49°57'36.705"""	Sul do Equador	GO	CRIXÁS	Minério de Ouro Primário	87	4829094,43	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
37	Unidade I	Niobras Mineração Ltda	07.171.562/0005-70	"-18°08'48.000"""	"-47°48'19.000"""	Sul do Equador	GO	OUVIDOR	Minério de Nióbio	31	100000	Alteamento a montante ou desconhecido	Média	Alta	B	Sim
38	Unidade II	Niobras Mineração Ltda	07.171.562/0005-70	"-18°08'59.000"""	"-47°48'27.000"""	Sul do Equador	GO	OUVIDOR	Minério de Nióbio	25	1800000	Alteamento a jusante	Baixa	Alta	B	Sim
39	Unidade IIB	Niobras Mineração Ltda	07.171.562/0005-70	"-18°08'40.490"""	"-47°48'40.409"""	Sul do Equador	GO	OUVIDOR	Minério de Nióbio	20	1100000	Alteamento a jusante	Baixa	Alta	B	Sim
40	5 (MAC)	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-19°58'37.512"""	"-43°53'34.810"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	78	13718217	Alteamento a jusante	Baixa	Alta	B	Sim
41	5 (Mutuca)	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-20°01'34.413"""	"-43°56'33.225"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	55	7100000	Alteamento a jusante	Baixa	Alta	B	Sim
42	7B	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-19°58'02.514"""	"-43°52'58.725"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	27,4	79431	Etapa única	Baixa	Alta	B	Sim
43	8B	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-19°57'33.914"""	"-43°52'21.360"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	28	92635	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
44	Água Fria	Topazio Imperial Mineração Comercio e Industria Ltda	16.857.294/0001-02	"-20°26'50.670"""	"-43°38'37.760"""	Sul do Equador	MG	OURO PRETO	Aluvião com Gemas	40	5648000	Alteamento a jusante	Média	Alta	B	Sim
45	Alcindo Vieira	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°34'28.232"""	"-43°14'46.628"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	24	770600	Alteamento a jusante	Baixa	Baixa	E	Sim
46	Alemães	Gerdau Açominas S.a.	17.227.422/0001-05	"-20°25'24.810"""	"-43°45'11.170"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	57	2385000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
47	B	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	"-20°07'27.900"""	"-43°55'30.800"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	40	333000	Etapa única	Baixa	Alta	B	Sim
48	B1	Itaminas Comércio de Minérios S.a.	18.752.824/0001-83	"-20°03'52.300"""	"-44°06'50.700"""	Sul do Equador	MG	SARZEDO	Argila	19	297747,61	Etapa única	Baixa	Alta	B	Sim
49	B1	Nacional de Grafite Ltda	21.228.861/0001-00	"-20°26'39.200"""	"-45°08'00.700"""	Sul do Equador	MG	ITAPECERICA	Xisto	12	55000	Alteamento a jusante	Baixa	Média	C	Sim
50	B1 - AGUA PRETA	Companhia Siderúrgica Nacional	33.042.730/0001-04	"-20°37'39.860"""	"-43°45'47.180"""	Sul do Equador	MG	CONSELHEIRO LAFAIETE	Minério de Manganês	17	100000	Etapa única	Baixa	Alta	B	Sim
51	B2	Itaminas Comércio de Minérios S.a.	18.752.824/0001-83	"-20°04'52.800"""	"-44°06'44.500"""	Sul do Equador	MG	SARZEDO	Minério de Ferro	10	441115,63	Etapa única	Baixa	Alta	B	Sim
52	B2	Nacional de Grafite Ltda	21.228.861/0001-00	"-20°26'24.200"""	"-45°07'55.200"""	Sul do Equador	MG	ITAPECERICA	Xisto	13	798178	Alteamento a jusante	Baixa	Alta	B	Sim
53	B2 - AGUA PRETA	Companhia Siderúrgica Nacional	33.042.730/0001-04	"-20°37'35.020"""	"-43°45'55.390"""	Sul do Equador	MG	CONSELHEIRO LAFAIETE	Minério de Manganês	29	265000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
54	B3	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	"-19°52'43.139"""	"-43°22'41.690"""	Sul do Equador	MG	SÃO GONÇALO DO RIO ABAIXO	Minério de Ferro	18,5	137575	Etapa única	Baixa	Alta	B	Sim
55	B3/B4	Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba	33.417.445/0026-89	"-20°02'51.400"""	"-43°57'15.700"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	55	1896000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
56	B4	Itaminas Comércio de Minérios S.a.	18.752.824/0001-83	"-20°05'30.600"""	"-44°05'60.000"""	Sul do Equador	MG	SARZEDO	Minério de Ferro	98	4865160	Alteamento por linha de centro	Baixa	Alta	B	Sim
57	B4	Nacional de Grafite Ltda	21.228.861/0001-00	"-20°26'16.300"""	"-45°08'54.300"""	Sul do Equador	MG	ITAPECERICA	Xisto	47	1090000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
58	B5	VERMELHÃO MINERAÇÃO INDUSTRIA E COMERCIO LTDA	16.857.492/0001-76	"-20°23'57.9746"""	"-43°32'29.4382"""	Sul do Equador	MG	OURO PRETO	Minério com Gemas	26,4	223840	Etapa única	Baixa	Baixa	E	Sim
59	B6	Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba	33.417.445/0026-89	"-20°03'29.700"""	"-43°57'50.700"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	20	121175	Etapa única	Baixa	Média	C	Sim
60	B7	Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba	33.417.445/0026-89	"-20°03'40.100"""	"-43°57'40.800"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	24	127161	Etapa única	Baixa	Média	C	Sim
61	Baia da UTM I	Gerdau Açominas S.a.	17.227.422/0001-05	"-20°26'10.800"""	"-43°46'33.700"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	17	12000	Etapa única	Baixa	Alta	B	Sim
62	Baias da UTM II	Gerdau Açominas S.a.	17.227.422/0001-05	"-20°27'17.200"""	"-43°46'37.000"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	22	26000	Etapa única	Baixa	Alta	B	Sim
63	Baixo João Pereira	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°26'24.500"""	"-43°54'18.500"""	Sul do Equador	MG	CONGONHAS	Minério de Ferro	15,76	142500	Alteamento a jusante	Baixa	Média	C	Sim
64	Barnabé	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°25'33.000"""	"-43°53'30.400"""	Sul do Equador	MG	CONGONHAS	Minério de Ferro	25	318550	Alteamento a jusante	Baixa	Alta	B	Sim
65	Barnabé 1	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°26'02.500"""	"-43°52'56.400"""	Sul do Equador	MG	CONGONHAS	Minério de Ferro	33	407524	Etapa única	Baixa	Alta	B	Sim
66	Barragem 01 - Jose Jaime	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	"-20°08'13.740"""	"-44°23'01.130"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	20	1200000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
67	Barragem 02	Companhia Siderúrgica Nacional	33.042.730/0001-04	"-20°18'59.620"""	"-45°34'59.380"""	Sul do Equador	MG	ARCOS	Calcário Dolomítico	15	240000	Etapa única	Baixa	Baixa	E	Sim
68	Barragem 02 - Canindé	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	"-20°08'19.320"""	"-44°22'48.680"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	40	86937,1	Etapa única	Baixa	Média	C	Sim
69	Barragem 03	Companhia Siderúrgica Nacional	33.042.730/0001-04	"-20°18'48.380"""	"-45°34'38.840"""	Sul do Equador	MG	ARCOS	Calcário	10	900000	Etapa única	Baixa	Média	C	Sim
70	Barragem 03 - Zé da Grota	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	"-20°08'18.330"""	"-44°23'11.710"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	32	3200000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
71	Barragem 1	Nexa Recursos Minerais S.a	42.416.651/0001-07	"-17°29'51.521"""	"-46°49'07.550"""	Sul do Equador	MG	PARACATU	Minério de Zinco	21	1800000	Etapa única	Baixa	Alta	B	Sim
72	Barragem 1 - Decantação	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	"-20°22'43.000"""	"-43°54'58.000"""	Sul do Equador	MG	ITABIRITO	Hematita	12	40000	Etapa única	Baixa	Alta	B	Sim
73	Barragem 2	Nexa Recursos Minerais S.a	42.416.651/0001-07	"-17°30'38.192"""	"-46°49'41.980"""	Sul do Equador	MG	PARACATU	Calcário Dolomítico	32,5	1600000	Alteamento por linha de centro	Baixa	Alta	B	Sim
74	Barragem 2 - Decantação	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	"-20°22'42.070"""	"-43°54'58.460"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	12	64000	Etapa única	Baixa	Média	C	Sim
75	Barragem 3	Nexa Recursos Minerais S.a	42.416.651/0001-07	"-17°30'47.768"""	"-46°49'42.290"""	Sul do Equador	MG	PARACATU	Calcário Dolomítico	12	500000	Etapa única	Baixa	Alta	B	Sim
76	BARRAGEM 7	Ferrous Resources do Brasil Sa	08.852.207/0001-04	"-20°33'45.400"""	"-43°57'03.100"""	Sul do Equador	MG	JECEABA	Minério de Ferro	64	5105350,84	Etapa única	Baixa	Alta	B	Sim
77	Barragem A	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°38'59.000"""	"-46°56'46.000"""	Sul do Equador	MG	ARAXÁ	Fosfato	8	30000	Alteamento a jusante	Baixa	Alta	B	Sim
78	Barragem A	Mosaic Fertilizantes P&K S.A. Filial: Patos	33.931.486/0027-70	"-18°22'44.500"""	"-46°55'35.300"""	Sul do Equador	MG	PATOS DE MINAS	Fosfato	13,5	631000	Etapa única	Baixa	Média	C	Sim
79	Barragem A0	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°37'00.000"""	"-47°02'00.000"""	Sul do Equador	MG	ARAXÁ	Fosfato	23,5	4600000	Etapa única	Baixa	Alta	B	Sim
80	Barragem Aroeira	Nexa Recursos Minerais S.a	42.416.651/0001-07	"-17°58'21.400"""	"-46°48'52.100"""	Sul do Equador	MG	VAZANTE	Minério de Zinco	44	11200000	Alteamento a jusante	Baixa	Alta	B	Sim
81	BARRAGEM AUXILIAR DO VIGIA	Nacional Minerios Sa	08.446.702/0001-05	"-20°26'04.000"""	"-43°50'07.100"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	35	3140693	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
82	Barragem B	Mosaic Fertilizantes P&K S.A. Filial: Patos	33.931.486/0027-70	"-18°22'51.200"""	"-46°55'37.900"""	Sul do Equador	MG	PATOS DE MINAS	Fosfato	25	3260000	Alteamento a jusante	Baixa	Média	C	Sim
83	Barragem B1	Herculano Mineração Ltda.	41.785.833/0001-92	"-20°15'01.740"""	"-43°55'56.970"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	61,5	4100000	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
84	Barragem B1	Mineração Geral do Brasil S A	60.727.120/0001-17	"-20°03'53.300"""	"-44°01'45.200"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	47	190000	Alteamento a montante ou desconhecido	Baixa	Baixa	E	Sim
85	Barragem B1 - Mina Ipê	Mineração Morro do Ipê S.a.	22.902.554/0001-17	"-20°07'11.300"""	"-44°18'26.900"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	55	571815	Alteamento a jusante	Baixa	Média	C	Sim
86	Barragem B1 - Mina Tico-Tico	Mineração Morro do Ipê S.a.	22.902.554/0001-17	"-20°06'06.400"""	"-44°17'20.600"""	Sul do Equador	MG	IGARAPÉ	Sedimento	22	22000	Etapa única	Baixa	Alta	B	Sim
87	Barragem B1-Auxiliar - Mina Tico-Tico	Mineração Morro do Ipê S.a.	22.902.554/0001-17	"-20°06'12.700"""	"-44°17'17.500"""	Sul do Equador	MG	IGARAPÉ	Minério de Ferro	68	657575	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
88	Barragem B1/B4	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°38'01.000"""	"-46°59'47.000"""	Sul do Equador	MG	ARAXÁ	Fosfato	58	24000000	Alteamento por linha de centro	Baixa	Alta	B	Sim
89	Barragem B1A Ipê	Emicon Mineração e Terraplenagem LTDA.	16.679.953/0001-68	"-20°07'22.700"""	"-44°18'45.300"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	37	22460	Alteamento por linha de centro	Média	Alta	B	Sim
90	Barragem B2	Mineração Geral do Brasil S A	60.727.120/0001-17	"-20°03'58.700"""	"-44°01'37.900"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	27	180000	Alteamento a montante ou desconhecido	Baixa	Baixa	E	Sim
91	Barragem B2	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°38'27.9424"" "	"-46°58'26.3435"""	Sul do Equador	MG	ARAXÁ	Minério de Ferro	25	750000	Alteamento a jusante	Baixa	Média	C	Sim
92	BARRAGEM B2	Nacional Minerios Sa	08.446.702/0001-05	"-20°09'39.643"""	"-43°50'52.101"""	Sul do Equador	MG	RIO ACIMA	Minério de Ferro	40	2616466	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
93	Barragem B2 - Mina Tico-Tico	Mineração Morro do Ipê S.a.	22.902.554/0001-17	"-20°06'37.200"""	"-44°17'13.500"""	Sul do Equador	MG	IGARAPÉ	Minério de Ferro	80	2200000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
94	BARRAGEM B2 AUXILIAR	Nacional Minerios Sa	08.446.702/0001-05	"-20°09'48.200"""	"-43°51'03.610"""	Sul do Equador	MG	RIO ACIMA	Minério de Ferro	33	6439465	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
95	BARRAGEM B4	Csn Mineração S.a.	08.902.291/0001-15	"-20°29'09.000"""	"-43°53'09.000"""	Sul do Equador	MG	CONGONHAS	Minério de Ferro	65	13001821	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
96	Barragem B4	Herculano Mineração Ltda.	41.785.833/0001-92	"-20°15'37.580"""	"-43°55'36.390"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	38	500000	Alteamento a montante ou desconhecido	Baixa	Baixa	E	Sim
97	BARRAGEM B5	Csn Mineração S.a.	08.902.291/0001-15	"-20°29'23.000"""	"-43°53'28.000"""	Sul do Equador	MG	CONGONHAS	Minério de Ferro	41	5393580	Etapa única	Baixa	Alta	B	Sim
98	Barragem B5	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°37'01.000"""	"-47°01'16.000"""	Sul do Equador	MG	ARAXÁ	Fosfato	74,2	48000000	Alteamento por linha de centro	Baixa	Alta	B	Sim
99	Barragem BA-3	Mosaic Fertilizantes P&K S.A. Filial: Tapira	33.931.486/0020-01	"-19°49'23.900"""	"-46°52'05.900"""	Sul do Equador	MG	TAPIRA	Fosfato	14	650000	Etapa única	Baixa	Média	C	Sim
100	Barragem BD-2	Mosaic Fertilizantes P&K S.A. Filial: Tapira	33.931.486/0020-01	"-19°50'14.100"""	"-46°50'14.500"""	Sul do Equador	MG	TAPIRA	Fosfato	21	2000000	Alteamento a jusante	Baixa	Baixa	E	Sim
101	Barragem BD-5	Mosaic Fertilizantes P&K S.A. Filial: Tapira	33.931.486/0020-01	"-19°49'15.700"""	"-46°50'30.500"""	Sul do Equador	MG	TAPIRA	Fosfato	33	2560000	Alteamento a jusante	Baixa	Alta	B	Sim
102	Barragem BL-1	Mosaic Fertilizantes P&K S.A. Filial: Tapira	33.931.486/0020-01	"-19°50'32.900"""	"-46°51'51.300"""	Sul do Equador	MG	TAPIRA	Fosfato	91	170000000	Alteamento por linha de centro	Baixa	Alta	B	Sim
103	BARRAGEM BOM JARDIM	Bauminas Mineração Ltda	19.534.650/0001-45	"-21°12'41.671"""	"-42°42'53.751"""	Sul do Equador	MG	MIRAÍ	Argila	23	1450000	Etapa única	Baixa	Alta	B	Sim
104	Barragem BR	Mosaic Fertilizantes P&K S.A. Filial: Tapira	33.931.486/0020-01	"-19°50'18.600"""	"-46°49'58.000"""	Sul do Equador	MG	TAPIRA	Fosfato	57	80000000	Alteamento por linha de centro	Baixa	Alta	B	Sim
105	Barragem BRI	Mosaic Fertilizantes P&K S.A. Filial: Tapira	33.931.486/0020-01	"-19°47'19.900"""	"-46°52'44.000"""	Sul do Equador	MG	TAPIRA	Fosfato	35	8300000	Etapa única	Baixa	Alta	B	Sim
106	Barragem C	Mosaic Fertilizantes P&K S.A. Filial: Patos	33.931.486/0027-70	"-18°22'47.300"""	"-46°55'58.200"""	Sul do Equador	MG	PATOS DE MINAS	Fosfato	10	417600	Etapa única	Baixa	Média	C	Sim
107	BARRAGEM CASA DE PEDRA	Csn Mineração S.a.	08.902.291/0001-15	"-20°30'21.000"""	"-43°53'00.000"""	Sul do Equador	MG	CONGONHAS	Minério de Ferro	84	21713715	Alteamento a jusante	Baixa	Alta	B	Sim
